n_qubits,gs_sparsity,ham_sparsity,overlap,actual_overlap,Q_frac,Q_int,epsilon,seed,dim,gs_support_size,ham_nnz,gap,true_ground_energy,krab_final_energy,krab_rel_error_final,krab_final_subspace,krab_iterations_run,krab_max_iterations,krab_native_converged,krab_iter_to_target,krab_subspace_at_target,krab_n_states_to_target,krab_walltime_s,skqd_best_t,skqd_best_n_states_to_target,skqd_any_converged,skqd_best_final_energy,skqd_walltime_s,rand_median_n_states_to_target,rand_min_n_states_to_target,n_random_paths,krab_beats_skqd,advantage_ratio
10,0.1,0.5,0.1,0.05606159822354621,0.05,51,0.0001,42,1024,103,526398,1.0,-4.999999999999998,-4.999941064019281,1.1787196143409067e-05,102,60,60,True,3,125,100,1.7399096030276269,0.5,115,True,-5.000000000000025,483.1393499590922,1013.5,974,20,True,1.15
10,0.1,0.5,0.1,0.05606159822354621,0.05,51,1e-05,42,1024,103,526398,1.0,-5.000000000000016,-5.000000000000006,1.9539925233402694e-15,103,4,60,True,3,125,101,0.10381970787420869,0.9,130,True,-5.000000000000062,505.93005650886334,1013.0,973,20,True,1.2871287128712872
10,0.1,0.25,0.5,0.05606159822354621,0.1,102,0.0001,42,1024,103,264956,1.0,-5.000000000000022,-4.999940153525569,1.1969294890690155e-05,102,30,30,True,3,192,94,0.7749920778442174,0.5,131,True,-5.000000000000029,433.11467856913805,1011.5,1002,20,True,1.3936170212765957
10,0.1,0.5,0.1,0.05606159822354621,0.1,102,1e-06,42,1024,103,526398,1.0,-5.0000000000000195,-5.000000000000003,3.3750779948604627e-15,103,4,30,True,2,139,101,0.15998333506286144,0.7,136,True,-5.000000000000035,473.4880050988868,1019.0,951,20,True,1.3465346534653466
10,0.1,0.1,0.8,0.05606159822354621,0.1,102,0.0001,42,1024,103,107962,1.0,-5.0000000000000115,-4.999932036894669,1.3592621068525514e-05,102,30,30,True,3,166,99,0.5271102678962052,0.3,131,True,-5.000000000000053,421.5969635779038,1010.5,949,20,True,1.3232323232323233
10,0.1,0.5,0.1,0.05606159822354621,0.1,102,0.0001,42,1024,103,526398,1.0,-5.000000000000012,-4.999941064019284,1.1787196145718297e-05,102,30,30,True,2,139,101,1.210959750926122,1.0,132,True,-5.000000000000032,515.7808707221411,1015.5,987,20,True,1.306930693069307
10,0.1,0.25,0.8,0.05606159822354621,0.05,51,1e-07,42,1024,103,264956,1.0,-5.0000000000000115,-5.000000000000003,1.7763568394002463e-15,103,5,60,True,3,120,100,0.1228195340372622,1.0,134,True,-5.000000000000031,427.7205179980956,1012.5,971,20,True,1.34
10,0.1,0.25,0.3,0.05606159822354621,0.05,51,1e-05,42,1024,103,264956,1.0,-5.000000000000003,-5.000000000000003,0.0,103,5,60,True,3,102,98,0.09484326187521219,1.0,132,True,-5.000000000000042,448.0952562279999,1015.0,970,20,True,1.346938775510204
10,0.1,0.25,0.3,0.05606159822354621,0.1,102,0.0001,42,1024,103,264956,1.0,-5.0000000000000115,-4.999940153525569,1.1969294888558552e-05,102,30,30,True,3,192,94,0.7581316470168531,1.0,120,True,-5.000000000000023,418.2298806239851,1018.0,965,20,True,1.2765957446808511
10,0.1,0.1,0.8,0.05606159822354621,0.1,102,1e-05,42,1024,103,107962,1.0,-5.000000000000048,-5.0000000000000115,7.283063041540957e-15,103,5,30,True,3,166,99,0.11160547891631722,0.2,140,True,-5.000000000000043,418.62693040585145,1008.5,949,20,True,1.4141414141414141
10,0.1,0.25,0.3,0.05606159822354621,0.05,51,0.0001,42,1024,103,264956,1.0,-5.000000000000002,-4.999940153525574,1.1969294885538768e-05,102,60,60,True,3,102,98,1.1719342910218984,0.5,132,True,-5.000000000000045,453.4407526499126,1012.0,988,20,True,1.346938775510204
10,0.1,0.5,0.5,0.05606159822354621,0.05,51,0.0001,42,1024,103,526398,1.0,-4.999999999999993,-4.999941064019281,1.1787196142343265e-05,102,60,60,True,3,125,100,1.7624913258478045,0.4,129,True,-5.00000000000003,472.00516875996254,1013.5,936,20,True,1.29
10,0.1,0.25,0.8,0.05606159822354621,0.05,51,1e-06,42,1024,103,264956,1.0,-5.000000000000039,-5.0000000000000036,7.105427357600947e-15,103,5,60,True,3,103,98,0.09450760507024825,0.8,130,True,-5.000000000000029,440.0858139449265,1013.0,986,20,True,1.3265306122448979
10,0.1,0.25,0.1,0.05606159822354621,0.05,51,1e-05,42,1024,103,264956,1.0,-5.000000000000014,-5.000000000000003,2.309263891220319e-15,103,5,60,True,3,102,98,0.09405790409073234,1.0,128,True,-5.00000000000005,442.9869838550221,1015.5,987,20,True,1.3061224489795917
10,0.1,0.25,0.3,0.05606159822354621,0.1,102,1e-06,42,1024,103,264956,1.0,-5.0000000000000195,-4.999999999999999,4.08562073062056e-15,103,4,30,True,3,192,94,0.09758289996534586,1.0,131,True,-5.000000000000044,460.04063144302927,1010.0,981,20,True,1.3936170212765957
10,0.1,0.5,0.3,0.05606159822354621,0.1,102,0.0001,42,1024,103,526398,1.0,-5.000000000000023,-4.999941064019284,1.17871961478499e-05,102,30,30,True,2,139,101,1.1590787570457906,0.9,135,True,-5.0000000000000435,459.6915384528693,1017.5,957,20,True,1.3366336633663367
10,0.1,0.5,0.5,0.05606159822354621,0.05,51,1e-06,42,1024,103,526398,1.0,-4.999999999999993,-5.000000000000006,2.6645352591003796e-15,103,4,60,True,3,125,101,0.10439019789919257,0.4,134,True,-5.000000000000024,472.617640910903,1020.0,986,20,True,1.3267326732673268
10,0.1,0.5,0.5,0.05606159822354621,0.1,102,1e-07,42,1024,103,526398,1.0,-4.999999999999998,-5.000000000000002,7.105427357601004e-16,103,4,30,True,2,160,100,0.16129390499554574,0.4,128,True,-5.000000000000066,480.55586002301425,1016.5,974,20,True,1.28
10,0.1,0.25,0.3,0.05606159822354621,0.1,102,1e-07,42,1024,103,264956,1.0,-5.000000000000035,-5.00000000000001,4.973799150320667e-15,103,4,30,True,2,152,100,0.22992759197950363,0.5,123,True,-5.00000000000004,451.07284340797924,1014.0,966,20,True,1.23
10,0.1,0.25,0.1,0.05606159822354621,0.05,51,0.0001,42,1024,103,264956,1.0,-5.0000000000000195,-4.999940153525574,1.196929488909144e-05,102,60,60,True,3,102,98,1.1598070829641074,0.2,128,True,-5.000000000000032,451.6535909359809,1016.0,966,20,True,1.3061224489795917
10,0.1,0.25,0.8,0.05606159822354621,0.05,51,1e-05,42,1024,103,264956,1.0,-5.0000000000000115,-5.000000000000003,1.7763568394002463e-15,103,5,60,True,3,102,98,0.09366875211708248,0.3,124,True,-5.000000000000047,452.2533038579859,1010.5,987,20,True,1.2653061224489797
10,0.1,0.25,0.8,0.05606159822354621,0.05,51,0.0001,42,1024,103,264956,1.0,-5.000000000000028,-4.999940153525574,1.1969294890867776e-05,102,60,60,True,3,102,98,1.131542676128447,0.8,133,True,-5.000000000000042,453.36503159813583,1009.0,983,20,True,1.3571428571428572
10,0.1,0.25,0.1,0.05606159822354621,0.05,51,1e-07,42,1024,103,264956,1.0,-5.000000000000007,-5.000000000000003,8.8817841970012395e-16,103,5,60,True,3,120,100,0.12102259695529938,0.4,131,True,-5.000000000000044,459.78649471793324,1015.0,996,20,True,1.31
