Hamiltonian_Index,Number_of_Sites,Dimensions,Delta,J,Bx,By,Bz,Ground_State_Density,Hamiltonian_Density,Overlap,Initial_State_Index,Algorithm,Budget,Budget_Fraction,Fidelity,Final_Pool_Size,Final_Pool_Fraction,Terminated_Early,Seed
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,Ceiling,217,0.2119140625,1.0000000000000004,512.0,0.5,False,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,Ceiling,269,0.2626953125,1.0000000000000004,512.0,0.5,False,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,Ceiling,333,0.3251953125,1.0000000000000004,512.0,0.5,False,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,Ceiling,413,0.4033203125,1.0000000000000004,512.0,0.5,False,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,3.123069145619171e-10,355,Ceiling,512,0.5,1.0000000000000004,512.0,0.5,False,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,1.2494790351479173e-05,666,BARK,1,0.0009765625,1.2494790351479173e-05,252.0,0.24609375,True,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,1.2494790351479173e-05,666,BARK,2,0.001953125,0.4998245782469087,252.0,0.24609375,True,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,1.2494790351479173e-05,666,BARK,3,0.0029296875,0.4998745548937809,252.0,0.24609375,True,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,1.2494790351479173e-05,666,BARK,4,0.00390625,0.49987456513762657,252.0,0.24609375,True,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,1.2494790351479173e-05,666,BARK,5,0.0048828125,0.4998870631883394,252.0,0.24609375,True,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,1.2494790351479173e-05,666,BARK,6,0.005859375,0.4998870645132164,252.0,0.24609375,True,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,1.2494790351479173e-05,666,BARK,7,0.0068359375,0.4998870648160664,252.0,0.24609375,True,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,1.2494790351479173e-05,666,BARK,9,0.0087890625,0.49988706618658596,252.0,0.24609375,True,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,1.2494790351479173e-05,666,BARK,11,0.0107421875,0.49989956414543646,252.0,0.24609375,True,3427559039
2,10,1,100.0,0.0689,0.0,0.0,0.546175,0.01953125,0.009765625,1.2494790351479173e-05,666,BARK,13,0.0126953125,0.49989956552889453,252.0,0.24609375,True,3427559039
