Number_of_Sites,Ground_State_Density,Hamiltonian_Density,Max_Interactions,Fidelity,Overlap,BARK_Pool_Size,SKQD_Pool_Size
8,1.0,0.06640625,2,0.85,4.4236970403822485e-05,130,236
8,1.0,0.06640625,2,0.9,0.03609143645742651,138,187
8,1.0,0.06640625,2,0.9,0.03615847659925853,138,194
8,1.0,0.06640625,2,0.9,0.046930492270325024,136,226
8,1.0,0.06640625,2,0.9,0.04818367459150137,138,inf
8,1.0,0.06640625,2,0.9,0.04827317616571586,138,211
8,1.0,0.06640625,2,0.9,2.0219456792496776e-05,150,242
8,1.0,0.06640625,2,0.9,3.0556079165246885e-05,146,inf
8,1.0,0.06640625,2,0.9,3.093726287260041e-05,139,inf
8,1.0,0.06640625,2,0.9,3.620694608444782e-05,156,inf
8,1.0,0.06640625,2,0.9,4.4236970403822485e-05,150,inf
6,1.0,0.15625,1,0.8,0.05723601935244565,14,27
6,1.0,0.15625,1,0.8,0.06001037382191189,16,24
6,1.0,0.15625,1,0.8,0.07780203071742343,35,18
6,1.0,0.15625,1,0.8,0.13834349704771864,14,26
6,1.0,0.15625,1,0.8,0.4058350776777287,14,23
6,1.0,0.15625,1,0.8,9.618629416443195e-06,18,inf
6,1.0,0.15625,1,0.8,1.7862960277976165e-05,18,45
6,1.0,0.15625,1,0.8,2.3158905631478695e-05,37,inf
6,1.0,0.15625,1,0.8,3.185306394419744e-05,41,inf
6,1.0,0.15625,1,0.8,5.013377688689773e-05,12,43
6,1.0,0.15625,1,0.85,0.05723601935244565,15,24
6,1.0,0.15625,1,0.85,0.06001037382191189,39,20
6,1.0,0.15625,1,0.85,0.07780203071742343,35,25
6,1.0,0.15625,1,0.85,0.13834349704771864,15,21
6,1.0,0.15625,1,0.85,0.4058350776777287,15,16
6,1.0,0.15625,1,0.85,9.618629416443195e-06,19,inf
6,1.0,0.15625,1,0.85,1.7862960277976165e-05,19,inf
6,1.0,0.15625,1,0.85,2.3158905631478695e-05,37,inf
6,1.0,0.15625,1,0.85,3.185306394419744e-05,45,inf
6,1.0,0.15625,1,0.85,5.013377688689773e-05,15,47
6,1.0,0.15625,1,0.9,0.05723601935244565,19,34
6,1.0,0.15625,1,0.9,0.06001037382191189,40,36
6,1.0,0.15625,1,0.9,0.07780203071742343,35,32
6,1.0,0.15625,1,0.9,0.13834349704771864,19,inf
6,1.0,0.15625,1,0.9,0.4058350776777287,19,22
6,1.0,0.15625,1,0.9,9.618629416443195e-06,22,inf
6,1.0,0.15625,1,0.9,1.7862960277976165e-05,22,47
6,1.0,0.15625,1,0.9,2.3158905631478695e-05,37,inf
6,1.0,0.15625,1,0.9,3.185306394419744e-05,46,inf
6,1.0,0.15625,1,0.9,5.013377688689773e-05,21,inf
6,1.0,0.203125,2,0.8,0.050117021730265596,25,45
6,1.0,0.203125,2,0.8,0.0651753238163615,17,35
6,1.0,0.203125,2,0.8,0.07079033933547231,20,26
6,1.0,0.203125,2,0.8,0.13935168198889053,25,25
6,1.0,0.203125,2,0.8,0.2534027122261469,25,28
6,1.0,0.203125,2,0.8,0.0001373899208618964,30,59
6,1.0,0.203125,2,0.8,0.0002014267334281228,20,inf
6,1.0,0.203125,2,0.8,0.000251938385466723,26,inf
6,1.0,0.203125,2,0.8,0.0003390359289258534,26,61
6,1.0,0.203125,2,0.8,0.00036936571250177706,20,46
6,1.0,0.203125,2,0.85,0.050117021730265596,26,44
6,1.0,0.203125,2,0.85,0.0651753238163615,23,33
6,1.0,0.203125,2,0.85,0.07079033933547231,27,inf
6,1.0,0.203125,2,0.85,0.13935168198889053,26,38
6,1.0,0.203125,2,0.85,0.2534027122261469,26,28
6,1.0,0.203125,2,0.85,0.0001373899208618964,33,inf
6,1.0,0.203125,2,0.85,0.0002014267334281228,27,56
6,1.0,0.203125,2,0.85,0.000251938385466723,27,53
6,1.0,0.203125,2,0.85,0.0003390359289258534,27,59
6,1.0,0.203125,2,0.85,0.00036936571250177706,27,52
6,1.0,0.203125,2,0.9,0.050117021730265596,29,53
6,1.0,0.203125,2,0.9,0.0651753238163615,28,57
6,1.0,0.203125,2,0.9,0.07079033933547231,28,44
6,1.0,0.203125,2,0.9,0.13935168198889053,29,42
6,1.0,0.203125,2,0.9,0.2534027122261469,29,42
6,1.0,0.203125,2,0.9,0.0001373899208618964,43,inf
6,1.0,0.203125,2,0.9,0.0002014267334281228,30,inf
6,1.0,0.203125,2,0.9,0.000251938385466723,30,50
6,1.0,0.203125,2,0.9,0.0003390359289258534,30,inf
6,1.0,0.203125,2,0.9,0.00036936571250177706,30,57
8,0.98046875,0.05078125,1,0.8,0.059793389267968795,29,53
8,0.98046875,0.05078125,1,0.8,0.07231527969865238,28,57
8,0.98046875,0.05078125,1,0.8,0.0758828356514033,29,57
8,0.98046875,0.05078125,1,0.8,0.12387517624846445,29,59
8,0.98046875,0.05078125,1,0.8,0.14981703040751354,29,49
